FECHA,EFEMERIDE,CERTEZA
1693-10-10,Queda demarcada La Plaza de Armas, hoy Plaza de la Vigia,completa
1693-10-12,Las autoridades coloniales dan titulo a la urbe, nacida oficialmente con el nombre de San Carlos y San Severino de Matanzas. Se bendice la primera piedra de la iglesia y se celebra misa aclamando a San Carlos Borromeo como Santo Patrono,completa
1693-10-13,Se bendice la primera piedra en el baluarte de Santa Ana del Castillo de San Severino, fortaleza concluida en 1745,completa
1693-10-14,Son delineadas las tres primeras calles, la del Rio, la del Medio y la de la Cienaga, hoy Milanes,completa
1693-10-15,Son delineadas las tres primeras calles, la del Rio, la del Medio y la de la Cienaga, hoy Milanes,completa
1694-12-08,Se construye el Cabildo (Ayuntamiento) y son elegidas las primeras autoridades,completa
1715-02-06,Se otorga licencia para construir molinos de tabaco en las afueras de la ciudad, sitio conocido hoy como Los Molinos,completa
1730-10-19,Un huracan devasta gran parte del territorio yumurino y queda destruida la iglesia, por lo que el Santisimo Sacramento y los vasos sagrados son trasladados a la casa de Don Diego Garcia Amoedo,completa
1899-01-12,Entran a la ciudad las tropas del Ejercito Libertador al mando del Mayor General Pedro Betancourt. Se dirigen a la Plaza de la Vigia donde son vitoreados por el pueblo.,completa
1959-01-02,La columna invasora dirigida por el Comandante Camilo Cienfuegos hace su entrada en Matanzas,completa
1960-09-30,Se fundan los Comites de Defensa de la Revolucion en la ciudad,completa
1961-01-05,Es asesinado Conrado Benitez Garcia, primer maestro voluntario martir como consecuencia de este hecho vil las brigadas de alfabetizadores asumieron su nombre,completa
2009-06-16,La UNESCO inaugura en el Castillo de San Severino el Museo de la Ruta del Esclavo,completa
1997-10-07,La caravana que conduce los restos mortales de Ernesto Che Guevara y sus compañeros de guerrilla hasta Santa Clara recorre la ciudad,completa
1959-12-23,Inaugurada la Emisora Radio 26 en la calle Contreras. Es trasladada posteriormente a su nueva sede en Milanes esquina Guachinango,completa
1993-00-00,Se celebra el tricenterario de la fundacion de la ciudad.,solo_año
1999-00-00,Se celebra en Matanzas el Acto Nacional Conmemorativo por el 26 de Julio,solo_año
1960-00-00,Comienza la creacion de circulos infantiles. Faro de America es la primera de estas instituciones en la ciudad,solo_año
1959-11-00,Comienza la inscripcion voluntaria de los matanceros para integrar las Milicias Nacionales Revolucionarias,mes_y_año
1999-00-00,Es inaugurado el telecentro TV Yumuri,solo_año
1898-04-00,Embarcaciones norteamericanas bloquean el puerto y bombardean la ciudad,mes_y_año
1899-01-00,Inicio del periodo de intervencion norteamericana hasta 1902,mes_y_año
1900-00-00,Inaugurado en la Plaza de la Vigia el Edificio del Cuerpo de Bomberos, relevante exponente del neoclasicismo en Matanzas,solo_año
1903-00-00,Se funda 'La Jarcia', fabrica de cuerdas de enequen por la Compañía Heydrich Raffloer and Co. En la actualidad Empresa de Sogas y Cordeles 'Julian Aleman',solo_año
